Locality,Zone_Type,Footfall_Score,Demo_Score,Competitor_Gap,Rent_Index,POI_Score,Competitor_Count,Daily_Footfall,Avg_Spend_AED,Conversion_Rate,Monthly_Revenue_AED,Store_Size_Sqft,Lease_Cost_AED,ROI_Score,Peak_Hours,Weekend_Multiplier,Parking_Available,Metro_Proximity_Km,Recommended
Al Qusais,High Street,62,55,75,45,43,2,5112,194.1,0.0738,2196818.0,1200,135000,194.27,10AM-2PM,1.51,True,1.63,0
Downtown Dubai,Mixed Use,91,93,37,99,97,3,8212,373.0,0.0622,5715700.0,2000,495000,137.56,6PM-10PM,1.35,True,3.89,0
Silicon Oasis,Mall,48,60,89,30,65,1,4355,358.6,0.0601,2815751.0,800,60000,562.15,2PM-6PM,1.8,True,2.43,0
Al Qusais,Mall,49,53,83,40,54,0,4289,400.9,0.0731,3770776.0,2000,200000,225.25,2PM-6PM,1.53,False,3.73,0
Al Qusais,Mixed Use,55,55,76,41,53,1,4765,304.2,0.0662,2878733.0,1200,123000,279.85,10AM-2PM,1.25,True,4.5,0
Bur Dubai,High Street,86,62,44,44,68,2,6364,395.6,0.0643,4856447.0,1000,110000,528.79,10AM-2PM,1.89,True,2.66,0
Karama,Mall,56,66,71,40,62,2,5416,431.9,0.0582,4084192.0,1000,100000,489.1,10AM-2PM,1.71,True,2.05,0
JBR,High Street,93,87,58,87,89,2,8034,310.4,0.0691,5169551.0,2000,435000,141.61,6PM-10PM,1.75,True,2.95,1
Deira,Business District,77,78,46,53,78,1,7278,263.2,0.052,2988289.0,1500,198750,179.42,6PM-10PM,1.71,False,3.98,0
JBR,Mall,79,87,55,83,81,3,5916,416.4,0.055,4064647.0,1200,249000,194.89,10AM-2PM,1.98,True,1.75,1
Mirdif City Ctr,Mixed Use,81,79,56,66,86,2,6707,341.2,0.0516,3542487.0,1500,247500,170.76,2PM-6PM,1.95,True,1.8,1
JBR,Mixed Use,82,83,51,79,96,1,6354,194.2,0.0505,1869429.0,1500,296250,74.72,10AM-2PM,1.48,True,4.39,1
Deira,High Street,80,68,46,59,70,2,6324,219.3,0.0673,2800057.0,2000,295000,112.9,2PM-6PM,1.6,True,2.85,0
Al Qusais,Mall,53,54,68,36,49,2,4510,183.9,0.0768,1910912.0,1000,90000,253.79,6PM-10PM,1.3,True,3.47,0
Al Barsha,Mixed Use,73,66,62,68,67,2,5105,133.3,0.0544,1110570.0,1200,204000,64.33,6PM-10PM,1.76,True,2.36,1
Al Barsha,Mall,71,65,63,73,61,0,4631,371.6,0.0675,3484781.0,1500,273750,151.76,6PM-10PM,1.37,True,3.73,1
Downtown Dubai,Mixed Use,92,98,44,81,98,1,7760,316.8,0.0656,4838068.0,2000,405000,142.35,2PM-6PM,1.99,True,1.21,0
Business Bay,Mall,80,90,59,86,86,1,6329,393.3,0.0459,3427622.0,1000,215000,190.31,6PM-10PM,1.23,True,1.01,1
Deira,Mall,76,72,51,59,79,2,6885,342.4,0.0589,4165568.0,1000,147500,337.89,2PM-6PM,1.58,True,3.46,1
Mirdif City Ctr,Mixed Use,73,78,58,75,79,1,5127,361.3,0.0655,3639937.0,1500,281250,154.3,2PM-6PM,1.93,True,4.16,1
Al Qusais,Mixed Use,61,61,75,45,51,0,4656,348.3,0.07,3405538.0,2000,225000,180.63,2PM-6PM,1.49,True,3.4,0
DIFC,High Street,79,95,66,83,87,0,6667,367.8,0.0452,3325078.0,1000,207500,191.29,10AM-2PM,1.91,False,1.32,1
Bur Dubai,Mixed Use,79,65,39,52,79,3,5352,283.2,0.0451,2050724.0,1200,156000,156.75,2PM-6PM,1.47,False,4.22,0
Al Barsha,Mall,69,75,62,57,71,2,5079,280.8,0.046,1968133.0,1200,171000,137.11,2PM-6PM,1.25,False,2.95,0
Al Barsha,Mixed Use,69,76,65,62,71,0,4961,378.9,0.0424,2391008.0,1000,155000,184.11,6PM-10PM,1.44,True,0.57,0
Downtown Dubai,Mall,87,89,30,82,95,4,6928,454.0,0.0305,2877960.0,800,164000,209.58,10AM-2PM,1.51,True,0.3,0
Al Qusais,Mall,49,59,84,47,59,1,4349,314.2,0.0699,2865458.0,2000,235000,145.32,10AM-2PM,1.57,True,4.41,0
Karama,Mall,63,58,71,49,64,2,5257,345.5,0.0581,3165800.0,2000,245000,154.06,2PM-6PM,1.83,True,3.54,0
Al Barsha,Mall,73,69,64,60,66,2,5723,244.0,0.045,1885156.0,1000,150000,149.81,10AM-2PM,1.8,True,4.04,1
Al Barsha,High Street,64,72,62,65,68,3,4969,387.7,0.0559,3230709.0,2000,325000,118.29,10AM-2PM,1.36,True,3.09,0
Deira,Business District,80,71,54,54,69,2,6243,268.0,0.0578,2901197.0,800,108000,321.36,2PM-6PM,1.25,True,0.61,1
DIFC,Mall,77,100,73,84,81,3,6958,248.5,0.0583,3024131.0,2000,420000,85.4,6PM-10PM,1.43,True,0.23,1
Silicon Oasis,Business District,64,57,82,44,58,0,4804,308.5,0.0735,3267885.0,1500,165000,236.66,2PM-6PM,1.45,True,0.5,0
Downtown Dubai,Mixed Use,99,93,43,89,92,2,7995,370.8,0.0654,5816439.0,1500,333750,208.13,2PM-6PM,1.4,False,2.23,0
Jumeirah,Business District,70,83,63,68,74,0,5253,436.9,0.072,4957277.0,1200,204000,290.6,2PM-6PM,1.83,True,4.46,0
DIFC,Mall,60,88,65,86,84,3,4893,188.2,0.0489,1350905.0,1000,215000,74.4,2PM-6PM,1.47,False,0.33,0
DIFC,Mixed Use,70,89,71,88,82,0,5546,315.6,0.0621,3260842.0,1000,220000,176.86,6PM-10PM,1.67,True,3.56,0
Motor City,High Street,64,59,84,30,74,0,4840,405.2,0.069,4059618.0,1500,112500,432.03,2PM-6PM,1.33,True,1.5,0
Dubai Marina,Mall,85,86,45,86,86,1,6612,174.4,0.0431,1491001.0,1500,322500,54.48,2PM-6PM,1.37,True,4.11,0
Karama,Mall,59,56,62,36,58,0,4671,334.3,0.0544,2548393.0,2000,180000,168.89,6PM-10PM,1.44,True,1.91,0
Downtown Dubai,Business District,93,93,36,92,88,0,8480,382.5,0.0533,5186516.0,1500,345000,179.4,2PM-6PM,1.48,False,2.33,0
Motor City,Mixed Use,58,55,73,48,52,2,5212,276.9,0.064,2770949.0,2000,240000,137.55,2PM-6PM,1.62,True,2.17,0
Bur Dubai,Mixed Use,76,71,46,52,68,4,6527,309.6,0.0628,3807110.0,1000,130000,350.43,2PM-6PM,1.66,True,1.31,0
Jumeirah,Mall,64,78,71,72,81,1,5500,421.1,0.0487,3383749.0,1000,180000,224.58,10AM-2PM,2.0,True,2.71,0
Al Qusais,Mall,56,52,67,32,64,0,4574,244.8,0.0702,2358120.0,1000,80000,352.72,10AM-2PM,1.66,True,2.3,0
Deira,Mall,84,70,46,53,76,4,7156,378.1,0.0488,3961121.0,2000,265000,178.37,6PM-10PM,1.94,True,0.66,0
Mirdif City Ctr,Mall,89,80,53,55,85,1,7263,298.4,0.0713,4635810.0,1200,165000,336.15,6PM-10PM,1.2,False,1.67,1
DIFC,Mall,78,96,77,84,82,0,5842,212.3,0.0613,2280832.0,2000,420000,64.17,10AM-2PM,1.59,False,2.71,1
DIFC,Mixed Use,70,100,66,86,86,3,5835,265.3,0.0566,2628547.0,1200,258000,121.26,10AM-2PM,1.82,True,3.48,0
Al Qusais,High Street,68,49,76,40,54,1,6000,260.3,0.086,4029444.0,1200,120000,401.94,6PM-10PM,1.95,True,1.3,0
Downtown Dubai,Business District,85,87,29,96,95,4,7443,370.3,0.0407,3365250.0,1200,288000,139.22,10AM-2PM,1.76,False,1.58,0
DIFC,Mall,70,94,73,95,91,0,6312,284.7,0.0561,3024395.0,800,190000,190.01,6PM-10PM,1.45,True,1.62,0
Jumeirah,High Street,59,79,69,63,75,1,4377,219.3,0.0514,1480129.0,800,126000,139.96,2PM-6PM,1.69,True,2.11,0
Deira,High Street,78,72,57,52,63,1,5823,427.0,0.0535,3990706.0,800,104000,459.47,2PM-6PM,1.25,True,2.72,1
Jumeirah,High Street,63,75,66,79,76,1,5183,274.5,0.0704,3004813.0,1500,296250,120.71,6PM-10PM,1.95,False,2.68,0
Dubai Marina,High Street,81,81,43,76,90,4,5988,283.8,0.0367,1871033.0,1200,228000,97.48,6PM-10PM,2.0,True,4.04,0
Deira,Mixed Use,80,66,42,64,67,3,6326,299.8,0.061,3470659.0,1500,240000,172.53,2PM-6PM,1.55,True,3.71,0
Dubai Marina,High Street,81,82,46,82,75,2,6424,255.0,0.055,2702898.0,800,164000,196.77,10AM-2PM,1.86,False,3.57,0
Business Bay,Mall,81,80,58,82,81,1,6374,271.0,0.0522,2705036.0,1200,246000,130.95,6PM-10PM,1.88,False,3.99,1
Al Barsha,Business District,69,72,61,60,68,2,6026,293.5,0.0601,3188842.0,800,120000,317.88,6PM-10PM,1.24,True,2.48,0
Business Bay,Mall,82,78,55,79,91,3,6520,385.2,0.0643,4844691.0,1500,296250,195.24,6PM-10PM,1.75,False,0.31,1
Silicon Oasis,Mall,59,49,90,41,56,0,4539,163.0,0.0664,1473795.0,1000,102500,171.54,2PM-6PM,1.68,False,1.49,0
Silicon Oasis,Mall,52,53,84,35,55,0,3486,346.6,0.0619,2243716.0,1500,131250,204.14,2PM-6PM,1.7,True,3.81,0
Mirdif City Ctr,Mall,82,73,57,67,74,1,6261,236.3,0.0679,3013689.0,1200,201000,178.92,6PM-10PM,1.25,True,4.31,1
DIFC,Business District,79,93,64,78,90,0,6323,363.8,0.0632,4361383.0,1500,292500,177.93,6PM-10PM,1.96,False,4.09,1
Jumeirah,High Street,56,74,77,65,78,1,4391,438.7,0.0683,3947054.0,1200,195000,241.9,2PM-6PM,1.26,False,1.22,0
Mirdif City Ctr,High Street,73,76,67,69,76,3,5996,423.4,0.067,5102800.0,2000,345000,176.49,10AM-2PM,1.93,True,3.15,1
JBR,Mall,78,84,58,80,89,0,6356,269.2,0.0498,2556287.0,2000,400000,75.69,10AM-2PM,1.36,True,3.89,1
Bur Dubai,Mall,79,59,54,55,72,1,6739,235.1,0.0479,2276695.0,800,110000,247.37,6PM-10PM,1.51,True,2.71,1
Business Bay,Mall,91,81,58,78,76,3,7899,289.7,0.0534,3665921.0,1500,292500,149.4,6PM-10PM,1.32,False,2.12,1
Dubai Marina,Mall,88,87,50,77,91,2,6579,370.5,0.0511,3736717.0,2000,385000,115.47,10AM-2PM,1.31,False,2.3,0
Al Qusais,Mixed Use,61,53,78,35,57,0,5486,334.3,0.0682,3752302.0,1000,87500,513.6,6PM-10PM,1.32,True,1.55,0
Mirdif City Ctr,Mixed Use,76,76,55,67,90,0,5349,342.1,0.0496,2722881.0,1500,251250,129.05,6PM-10PM,1.52,True,2.4,1
Silicon Oasis,High Street,55,60,91,31,50,0,4388,258.6,0.06,2042526.0,1500,116250,209.84,6PM-10PM,1.9,True,3.88,0
Bur Dubai,Mall,71,64,54,47,74,1,5478,340.4,0.0487,2724343.0,1000,117500,277.23,6PM-10PM,1.89,True,4.29,1
Business Bay,Business District,76,91,62,81,76,0,6712,363.5,0.0735,5379785.0,1200,243000,264.67,2PM-6PM,1.27,True,3.71,1
Deira,Business District,83,63,46,55,81,3,7787,278.8,0.0576,3751515.0,1500,206250,217.27,6PM-10PM,1.87,True,3.17,0
Motor City,High Street,57,61,81,34,56,0,4458,256.7,0.0585,2008367.0,1200,102000,235.28,10AM-2PM,1.44,False,1.83,0
Silicon Oasis,Mall,57,59,85,28,58,0,3930,318.7,0.0588,2209394.0,1200,84000,314.63,10AM-2PM,1.56,False,2.43,0
Dubai Marina,Mixed Use,91,85,52,79,83,2,6452,457.6,0.0527,4667800.0,1000,197500,282.61,10AM-2PM,2.0,True,4.15,1
DIFC,High Street,80,87,67,92,88,2,6255,358.6,0.0589,3963457.0,1500,345000,136.86,2PM-6PM,1.26,False,3.23,1
Deira,Mixed Use,77,67,42,60,81,2,6729,297.3,0.0529,3174844.0,1200,180000,210.66,2PM-6PM,1.99,False,1.19,0
Dubai Mall,Mall,100,88,34,92,100,3,8055,418.7,0.0533,5392833.0,1200,276000,233.47,6PM-10PM,1.2,True,1.16,0
Al Barsha,Mall,63,72,61,59,64,2,5233,262.8,0.0578,2384653.0,1000,147500,193.01,6PM-10PM,1.47,False,4.47,0
Downtown Dubai,Mall,93,87,32,90,95,2,7599,296.1,0.0545,3678854.0,2000,450000,97.1,10AM-2PM,1.96,True,3.88,0
Al Qusais,Mall,54,41,76,36,55,2,4346,388.3,0.0652,3300851.0,2000,180000,219.06,2PM-6PM,1.56,True,3.18,0
JBR,Mall,88,85,45,83,94,2,7250,288.4,0.0449,2816442.0,1000,207500,161.88,10AM-2PM,1.23,True,4.3,0
Al Qusais,High Street,61,57,79,34,61,0,6070,326.5,0.0653,3882454.0,1200,102000,455.76,6PM-10PM,1.71,True,2.44,0
Mirdif City Ctr,High Street,68,76,64,58,76,0,6100,256.7,0.0622,2921913.0,1500,217500,160.21,10AM-2PM,1.54,False,2.99,0
DIFC,Mall,77,100,65,97,82,1,6865,392.0,0.058,4682479.0,1500,363750,153.47,6PM-10PM,1.66,False,3.29,1
Bur Dubai,Business District,78,60,51,42,71,1,6781,308.9,0.0625,3927470.0,1500,157500,298.24,10AM-2PM,1.66,True,3.24,1
Business Bay,Business District,87,88,65,97,77,3,6836,324.7,0.0655,4361611.0,1500,363750,142.89,6PM-10PM,1.9,True,1.23,1
Motor City,Mall,56,67,78,39,57,1,4919,268.0,0.0745,2946383.0,1200,117000,301.19,2PM-6PM,1.64,True,2.0,0
Al Barsha,Mall,66,62,63,65,74,1,5494,372.2,0.0627,3846394.0,1000,162500,283.04,2PM-6PM,1.67,True,2.82,0
Dubai Marina,High Street,84,89,46,74,89,2,6297,411.8,0.0388,3018374.0,1500,277500,129.52,2PM-6PM,1.97,True,2.19,0
Al Qusais,High Street,58,57,85,43,55,0,4325,451.0,0.0645,3774363.0,2000,215000,209.66,2PM-6PM,1.31,False,3.87,0
Silicon Oasis,Mall,54,67,88,25,62,0,4418,299.3,0.0765,3034695.0,2000,125000,290.33,6PM-10PM,1.64,True,1.01,0
Business Bay,High Street,82,87,56,86,73,1,6717,334.5,0.0752,5068863.0,800,172000,352.64,10AM-2PM,1.87,False,4.19,1
Karama,High Street,64,62,67,46,60,0,5216,228.2,0.0564,2013973.0,1200,138000,174.13,6PM-10PM,1.68,True,1.77,0
Downtown Dubai,Mixed Use,90,96,30,94,93,3,6406,233.2,0.0424,1900214.0,2000,470000,47.52,10AM-2PM,1.51,True,3.87,0
JBR,High Street,84,87,46,82,89,1,7129,349.9,0.0656,4909052.0,2000,410000,142.68,2PM-6PM,1.94,True,2.53,0
JBR,Mixed Use,87,82,49,86,87,3,6195,295.7,0.0283,1555250.0,1500,322500,56.87,2PM-6PM,1.36,True,3.48,0
Deira,Mixed Use,81,65,45,54,69,2,6828,303.1,0.0483,2998802.0,1200,162000,221.13,10AM-2PM,1.66,True,1.49,0
Karama,Mixed Use,60,62,68,50,50,0,5399,338.1,0.061,3340485.0,1000,125000,319.69,2PM-6PM,1.34,True,1.94,0
Jumeirah,Mixed Use,70,84,71,74,86,2,4984,301.0,0.0632,2844349.0,1000,185000,183.5,2PM-6PM,1.21,False,1.76,0
Downtown Dubai,Mall,95,90,33,91,97,3,7667,389.9,0.0376,3372002.0,800,182000,221.33,2PM-6PM,1.88,True,3.05,0
Al Qusais,High Street,53,49,83,40,51,0,4167,226.9,0.0604,1713232.0,2000,200000,101.79,10AM-2PM,1.32,False,1.02,0
Mirdif City Ctr,High Street,79,76,57,69,69,1,6994,349.3,0.0721,5284218.0,2000,345000,182.8,2PM-6PM,1.28,True,2.87,1
Mirdif City Ctr,Business District,73,80,63,68,86,0,5527,334.3,0.0491,2721627.0,1500,255000,127.08,10AM-2PM,1.52,True,2.87,1
Jumeirah,Mall,63,81,77,66,82,0,5854,253.0,0.0594,2639252.0,1000,165000,190.95,6PM-10PM,1.25,True,3.99,0
Mirdif City Ctr,High Street,70,78,51,65,81,2,5419,359.8,0.0719,4205624.0,1200,195000,257.81,6PM-10PM,1.93,False,2.66,0
Motor City,Mixed Use,57,73,79,41,70,1,4955,329.1,0.0678,3316824.0,1000,102500,387.31,10AM-2PM,1.25,False,1.47,0
Business Bay,Mall,83,86,48,82,83,1,6516,331.0,0.0643,4160459.0,2000,410000,120.77,10AM-2PM,1.33,True,4.24,0
Business Bay,Mall,81,86,56,84,71,1,7148,328.9,0.0472,3328984.0,800,168000,236.78,10AM-2PM,1.81,True,0.31,1
Deira,High Street,78,69,39,48,81,5,6708,325.6,0.0346,2267122.0,1000,120000,225.71,10AM-2PM,1.92,True,2.81,0
Motor City,Mixed Use,60,61,78,42,51,0,5143,309.8,0.0798,3814364.0,1200,126000,362.27,10AM-2PM,1.61,True,1.49,0
Karama,Business District,67,59,73,41,67,2,4727,279.2,0.0671,2656714.0,1200,123000,258.19,6PM-10PM,1.66,True,4.25,0
Jumeirah,Mall,74,77,73,60,63,0,5917,392.3,0.0737,5132260.0,1200,180000,341.15,10AM-2PM,1.61,False,2.79,1
Dubai Mall,Mall,97,91,31,94,97,2,7793,439.3,0.0619,6357374.0,2000,470000,161.32,10AM-2PM,1.39,True,0.92,0
Mirdif City Ctr,Mall,65,77,60,67,87,1,6015,353.5,0.0642,4095259.0,1200,201000,243.49,6PM-10PM,1.77,True,2.74,0
JBR,Mixed Use,86,81,48,70,87,1,7015,461.9,0.0638,6201797.0,1500,262500,282.51,10AM-2PM,1.48,True,2.26,0
Business Bay,High Street,82,95,58,92,86,1,6382,391.5,0.0678,5082057.0,1000,230000,264.15,2PM-6PM,1.42,True,3.12,1
Downtown Dubai,Mall,89,91,41,89,92,5,6559,318.8,0.0604,3788909.0,1500,333750,135.23,10AM-2PM,1.42,False,3.28,0
Jumeirah,High Street,62,73,73,69,69,1,5726,284.8,0.0622,3043007.0,1200,207000,175.41,10AM-2PM,1.25,False,0.14,0
Dubai Marina,Mall,85,83,47,81,93,1,8049,414.8,0.0314,3145079.0,2000,405000,92.19,10AM-2PM,1.61,False,0.87,0
Deira,High Street,79,81,35,54,72,2,5743,264.2,0.042,1911799.0,800,108000,211.42,2PM-6PM,1.77,True,3.51,0
JBR,Mall,87,86,58,77,89,1,6958,444.5,0.0655,6077413.0,2000,385000,188.43,2PM-6PM,1.27,False,2.3,1
Deira,Mixed Use,75,61,45,50,87,2,5393,240.9,0.0622,2424258.0,2000,250000,115.36,10AM-2PM,1.26,True,0.32,0
Mirdif City Ctr,Business District,84,72,56,67,81,2,6904,404.9,0.0506,4243462.0,800,134000,379.01,2PM-6PM,1.71,True,4.49,1
DIFC,High Street,74,100,61,84,88,2,7401,381.5,0.0691,5853077.0,1200,252000,277.72,6PM-10PM,1.37,True,0.38,1
Karama,Mall,58,56,67,39,47,0,4944,336.8,0.0627,3132127.0,800,78000,480.87,10AM-2PM,1.98,True,3.69,0
Business Bay,Mixed Use,88,92,53,79,81,0,7091,302.9,0.0511,3292675.0,2000,395000,99.03,6PM-10PM,1.86,True,1.95,1
Silicon Oasis,High Street,43,59,87,44,54,0,3035,255.4,0.0638,1483616.0,1500,165000,106.9,2PM-6PM,1.55,True,2.5,0
Motor City,Mall,65,69,83,41,60,0,5134,260.4,0.0706,2831541.0,2000,205000,164.75,10AM-2PM,1.43,False,4.35,0
Karama,High Street,56,63,74,52,62,0,4794,267.0,0.0535,2054397.0,1000,130000,188.64,10AM-2PM,1.7,True,2.36,0
Jumeirah,Business District,74,86,75,74,78,1,6369,375.8,0.0488,3504040.0,1500,277500,150.53,10AM-2PM,1.33,False,0.87,1
Downtown Dubai,Mall,89,89,35,90,93,4,6799,310.8,0.0423,2681561.0,800,180000,177.77,10AM-2PM,1.8,True,2.07,0
DIFC,Mall,63,93,68,91,78,1,5995,387.0,0.0651,4531087.0,1500,341250,158.33,2PM-6PM,1.27,True,0.56,0
Deira,Mixed Use,71,65,45,48,60,2,5928,375.4,0.045,3004251.0,1500,180000,199.28,2PM-6PM,1.3,True,1.11,0
Dubai Marina,Mall,90,94,54,81,94,1,7745,370.5,0.0682,5871043.0,1500,303750,230.94,10AM-2PM,1.82,False,1.78,1
Al Qusais,Mall,61,47,77,38,51,0,4424,310.7,0.0695,2865909.0,1500,142500,240.34,10AM-2PM,1.42,True,0.82,0
Jumeirah,Mall,69,75,71,68,69,0,5251,361.6,0.0679,3867777.0,1000,170000,272.02,10AM-2PM,1.66,False,0.88,0
Jumeirah,Mall,73,88,67,68,74,1,6484,387.7,0.0608,4585257.0,1200,204000,268.72,10AM-2PM,1.85,True,0.49,1
Deira,High Street,70,60,54,55,74,1,6037,273.3,0.0632,3128233.0,2000,275000,135.5,2PM-6PM,1.79,True,1.69,0
Business Bay,High Street,76,82,58,76,83,3,5910,351.5,0.0535,3334171.0,1500,285000,139.39,2PM-6PM,1.85,False,1.19,1
JBR,Mall,82,83,53,82,93,3,6593,296.1,0.0357,2090793.0,1200,246000,100.99,2PM-6PM,1.55,True,0.98,1
Karama,High Street,59,68,65,53,57,2,4433,374.7,0.0459,2287259.0,2000,265000,102.57,10AM-2PM,1.86,True,1.24,0
Karama,High Street,62,57,68,43,60,2,4427,439.7,0.0587,3427878.0,1000,107500,381.65,2PM-6PM,1.67,True,0.95,0
Mirdif City Ctr,Business District,77,71,56,64,88,2,6148,381.5,0.0646,4545505.0,1000,160000,339.91,10AM-2PM,1.56,False,1.07,1
Motor City,High Street,65,64,78,35,68,1,4923,245.3,0.0803,2909137.0,1500,131250,264.98,2PM-6PM,1.28,True,0.21,0
Al Barsha,Mall,69,79,61,54,71,1,5044,295.4,0.0439,1962327.0,1200,162000,144.36,10AM-2PM,1.97,True,1.59,0
Mirdif City Ctr,High Street,81,74,66,68,85,1,5998,355.0,0.0631,4030746.0,1500,255000,188.68,10AM-2PM,1.74,True,1.6,1
DIFC,Mall,66,97,72,92,82,0,5664,329.8,0.0629,3524892.0,800,184000,228.88,2PM-6PM,1.21,False,0.3,0
Mirdif City Ctr,Mall,84,69,51,70,86,1,6313,369.7,0.0589,4124030.0,800,140000,352.49,10AM-2PM,1.63,False,1.04,1
Jumeirah,High Street,68,81,68,72,82,2,4989,362.2,0.0667,3615839.0,1000,180000,240.06,2PM-6PM,1.41,True,0.1,0
Jumeirah,Mixed Use,67,78,73,66,76,2,5952,293.7,0.056,2936812.0,800,132000,265.98,2PM-6PM,1.3,False,2.71,0
Al Qusais,High Street,51,52,69,37,49,1,4632,336.9,0.0386,1807083.0,1000,92500,233.43,2PM-6PM,1.88,True,2.18,0
Mirdif City Ctr,Mall,77,74,70,71,82,1,6477,354.5,0.0849,5848158.0,2000,355000,196.68,2PM-6PM,1.34,True,1.03,1
Mirdif City Ctr,High Street,80,77,50,54,85,1,6371,372.0,0.041,2915115.0,800,108000,322.9,6PM-10PM,1.81,True,3.22,0
Karama,Business District,61,51,73,40,54,1,5157,463.5,0.0715,5127128.0,1200,120000,511.71,2PM-6PM,1.41,True,1.13,0
Deira,Mall,75,69,46,55,75,1,5474,390.6,0.0625,4009021.0,1200,165000,290.57,6PM-10PM,1.51,False,3.91,0
Mirdif City Ctr,Mixed Use,70,75,57,61,88,2,5196,300.8,0.0579,2714856.0,1200,183000,177.02,6PM-10PM,1.58,False,3.36,0
Bur Dubai,Mixed Use,73,65,52,36,82,4,5914,363.9,0.0674,4351556.0,2000,180000,289.1,6PM-10PM,1.23,False,3.28,1
DIFC,Mall,71,100,72,91,84,0,5835,317.8,0.0478,2659157.0,1200,273000,115.89,10AM-2PM,1.87,True,2.42,1
DIFC,Mall,77,95,74,96,80,0,8186,328.0,0.0597,4808849.0,800,192000,299.55,2PM-6PM,1.44,True,0.74,1
Business Bay,Mall,81,87,53,86,80,0,5622,379.4,0.0575,3679402.0,1500,322500,135.91,2PM-6PM,1.91,True,1.17,1
Dubai Marina,Mixed Use,84,90,53,80,82,3,6533,290.4,0.0623,3545835.0,1500,300000,140.83,6PM-10PM,1.28,True,0.63,1
Dubai Marina,Mall,83,84,31,90,88,3,6802,336.5,0.0485,3330310.0,1200,270000,147.01,6PM-10PM,1.94,True,2.49,0
Deira,High Street,72,56,45,52,69,1,5829,382.2,0.0437,2920703.0,1000,130000,268.6,6PM-10PM,1.23,False,3.06,0
Silicon Oasis,High Street,53,58,84,35,59,0,4094,326.4,0.0593,2377245.0,800,70000,406.53,10AM-2PM,1.64,True,2.97,0
Business Bay,Mall,88,94,65,85,85,1,7745,357.7,0.0579,4812161.0,2000,425000,134.87,10AM-2PM,1.27,True,3.38,1
JBR,Mall,87,86,51,78,85,3,6812,416.0,0.0698,5933960.0,2000,390000,181.58,2PM-6PM,1.62,False,1.69,1
Motor City,High Street,59,73,79,34,55,0,4046,354.8,0.0581,2502113.0,1200,102000,293.37,10AM-2PM,1.26,True,2.05,0
Jumeirah,Business District,64,82,68,69,78,1,5524,532.4,0.0519,4579102.0,1500,258750,211.36,6PM-10PM,1.72,True,3.73,0
Dubai Marina,High Street,82,87,50,90,84,0,6295,374.5,0.0356,2517786.0,800,180000,166.85,10AM-2PM,1.45,True,3.83,0
Al Qusais,High Street,57,47,89,31,49,0,5204,291.2,0.0668,3036871.0,1200,93000,390.85,6PM-10PM,1.79,False,4.36,0
Bur Dubai,Mixed Use,80,73,56,51,72,1,6402,353.7,0.0642,4361210.0,800,102000,512.08,10AM-2PM,1.75,False,1.32,1
Silicon Oasis,Mall,54,65,84,39,65,1,4574,345.9,0.0661,3137397.0,2000,195000,192.07,2PM-6PM,1.37,True,0.93,0
Motor City,Mall,70,63,73,43,60,1,6403,332.3,0.0617,3938404.0,1200,129000,365.36,2PM-6PM,1.28,False,1.8,0
Jumeirah,Mixed Use,68,72,73,70,75,0,5607,399.8,0.0767,5158102.0,1200,210000,293.75,2PM-6PM,1.42,True,3.28,0
DIFC,Mixed Use,72,92,68,81,82,1,5822,320.8,0.0857,4801851.0,800,162000,354.69,6PM-10PM,1.23,True,1.27,1
Al Qusais,High Street,67,54,76,42,50,3,6062,366.4,0.0604,4024664.0,1500,157500,305.64,2PM-6PM,1.8,False,2.87,0
Business Bay,Mall,85,87,50,84,82,3,6505,450.0,0.0392,3442446.0,800,168000,244.89,10AM-2PM,1.3,True,0.21,0
Motor City,Mixed Use,62,65,80,40,55,1,4105,388.9,0.0686,3285462.0,800,80000,491.82,6PM-10PM,1.27,False,2.87,0
Motor City,Business District,58,62,77,43,58,2,5169,304.1,0.065,3065191.0,1200,129000,284.13,10AM-2PM,1.38,False,3.92,0
Bur Dubai,Mixed Use,73,72,43,52,69,1,5899,232.3,0.0445,1829401.0,1500,195000,111.58,10AM-2PM,1.62,True,0.14,0
JBR,High Street,88,88,53,88,97,1,6581,450.8,0.0608,5411288.0,2000,440000,146.58,10AM-2PM,1.47,False,2.52,1
Dubai Mall,Mixed Use,96,87,28,96,100,2,7495,232.3,0.0505,2637749.0,1200,288000,108.91,10AM-2PM,1.35,False,2.1,0
Al Barsha,Mall,78,76,72,47,66,0,6341,359.0,0.0806,5504381.0,1500,176250,373.77,10AM-2PM,1.62,True,0.67,1
Downtown Dubai,High Street,90,93,32,92,95,2,7681,475.3,0.067,7338066.0,2000,460000,190.43,6PM-10PM,1.63,False,0.86,0
Al Qusais,Mall,56,53,75,35,63,0,5136,334.6,0.0617,3180954.0,2000,175000,217.12,2PM-6PM,1.81,False,2.28,0
DIFC,Mall,71,90,74,85,78,3,4663,333.5,0.0484,2258020.0,1200,255000,105.26,2PM-6PM,1.25,False,2.56,1
Al Barsha,High Street,62,62,61,62,69,2,5544,283.7,0.0517,2439464.0,800,124000,235.08,10AM-2PM,1.23,False,2.61,0
Al Barsha,Mall,75,72,66,62,68,2,4797,315.1,0.067,3038185.0,1200,186000,195.01,6PM-10PM,1.84,True,1.35,1
